die,label,method,pair_id,source,target,overlap,iterations,total_ms,cov_ms,sre,sse_sum,gt_t1,gt_t2,gt_t3,gt_t4,gt_t5,gt_t6,gt_t7,gt_t8,gt_t9,gt_t10,gt_t11,gt_t12,est_t1,est_t2,est_t3,est_t4,est_t5,est_t6,est_t7,est_t8,est_t9,est_t10,est_t11,est_t12
die_obverse_0001,local,icp,362831326790817,L0084D.ply,L0089D.ply,1,100,13024.5,0,0.206209,1254.67,0.993787,-0.110914,-0.00926758,1.24184,0.111021,0.993745,0.0120384,0.80174,0.00787439,-0.0129925,0.999885,0.066781,0.999618,0.0274673,-0.0031229,0.494252,-0.0274786,0.999616,-0.00363563,-0.41469,0.00302184,0.00372005,0.999989,0.143488
die_obverse_0001,local,gicp,362831326790817,L0084D.ply,L0089D.ply,1,100,76824.1,3788.61,0.228573,1400.14,0.993787,-0.110914,-0.00926758,1.24184,0.111021,0.993745,0.0120384,0.80174,0.00787439,-0.0129925,0.999885,0.066781,0.998971,0.0452698,0.00277734,0.325333,-0.0452413,0.99893,-0.0095788,-0.464447,-0.003208,0.0094433,0.99995,0.0579
die_obverse_0001,local,icp,362831326790848,L0084D.ply,L0101D.ply,1,100,13209,0,0.264564,1348.87,0.997387,-0.0712524,-0.0119359,1.35879,0.0715825,0.996984,0.0299871,0.23644,0.00976322,-0.0307631,0.999479,0.121266,0.999096,0.00923211,0.0414891,1.2296,-0.00945789,0.999941,0.00524892,-0.234841,-0.0414382,-0.00563658,0.999125,0.0985541
die_obverse_0001,local,gicp,362831326790848,L0084D.ply,L0101D.ply,1,100,76720.2,3125.81,0.269796,1313.64,0.997387,-0.0712524,-0.0119359,1.35879,0.0715825,0.996984,0.0299871,0.23644,0.00976322,-0.0307631,0.999479,0.121266,0.987402,-0.144928,0.0635028,1.00684,0.143284,0.989235,0.0297397,-0.0164117,-0.0671293,-0.0202661,0.997538,0.0264153
die_obverse_0001,local,icp,362831326790879,L0084D.ply,L0088D.ply,1,100,14507.7,0,0.527988,1924.71,0.984862,-0.14813,0.0900213,-0.979127,0.151837,0.987757,-0.0357905,2.01366,-0.0836176,0.0489173,0.995297,-0.388886,0.999765,-0.00356451,-0.0213745,-1.34275,0.00334417,0.999941,-0.0103354,-0.440596,0.02141,0.0102615,0.999718,-0.0299018
die_obverse_0001,local,gicp,362831326790879,L0084D.ply,L0088D.ply,1,70,54509,3683.45,0.620899,1852.25,0.984862,-0.14813,0.0900213,-0.979127,0.151837,0.987757,-0.0357905,2.01366,-0.0836176,0.0489173,0.995297,-0.388886,0.991349,0.119608,-0.0540538,-1.18675,-0.121685,0.991882,-0.0369215,-0.54908,0.0491989,0.0431797,0.997855,0.00987829
die_obverse_0001,local,icp,362831326790910,L0084D.ply,L0099D.ply,1,100,12910.4,0,0.165381,1542.33,0.991531,0.098373,-0.0847835,2.0187,-0.100854,0.994575,-0.025487,1.05866,0.0818162,0.0338219,0.996073,0.419363,0.999899,-0.00915604,-0.0108693,-0.106456,0.00943735,0.999614,0.0261181,0.238483,0.0106259,-0.026218,0.9996,-0.0329471
die_obverse_0001,local,gicp,362831326790910,L0084D.ply,L0099D.ply,1,100,76557.1,2971.36,0.299988,1725.13,0.991531,0.098373,-0.0847835,2.0187,-0.100854,0.994575,-0.025487,1.05866,0.0818162,0.0338219,0.996073,0.419363,0.98778,-0.155326,0.0128341,-0.538827,0.154489,0.986675,0.0510492,0.413203,-0.0205923,-0.0484427,0.998614,-0.183558
die_obverse_0001,local,icp,362831326790941,L0084D.ply,L0102D.ply,1,100,13057.2,0,0.0992272,1520.6,0.99625,-0.0861644,-0.00789288,0.372325,0.0863687,0.995786,0.0308401,0.559645,0.0052023,-0.0314061,0.999493,0.100265,0.999946,-0.00210413,-0.0101707,0.565325,0.00227366,0.999858,0.0166856,0.359295,0.0101341,-0.0167078,0.999809,0.0128303
die_obverse_0001,local,gicp,362831326790941,L0084D.ply,L0102D.ply,1,100,76860.5,3123.38,0.11234,1681.54,0.99625,-0.0861644,-0.00789288,0.372325,0.0863687,0.995786,0.0308401,0.559645,0.0052023,-0.0314061,0.999493,0.100265,0.988756,-0.147625,0.0238385,0.246366,0.146559,0.988328,0.0415705,0.584727,-0.0296971,-0.0376093,0.998851,-0.126391
